Text,label
جيد ويحفظ حق العملاء,1
بصراحة ممتازين,1
بسبب التسعيرة والظلم بحق الكباتن,0
دخلت التطبيق بسبب اعلان يقول سافر بسعر ارخص من اي مواصلات تانية بعد تثبيت التطبيق اتضح ان السعر ضعف افضل مواصلات سفر عادية بالاضافة لعدم وجود محطة قريبة من سكني الإعلانات كذب دائم,0
تطبيق ممتاز افضل من قبل بكثير,1
ليش ماكدونالد احياناََ يختفي؟,1
للأسف قاموا بالغاء خط شارع فوزي معاذ وكوبري الابراهيمة ونهايتة كانت بحري نقطة الانفوشي,0
مشروع رائع جداً بلتوفيق واقتصادي جدايارب بلتوفيق,1
ممتاز جدا تشكرون على التطبيق الرائع,1
يوصل في الوقت اختار وهو تحت امرك,1
افضل تطبيق ممكن استخدمه,1
تطبيق لا بأس به لكن احيانا يتأخرون عن المواعيد ارجو بان تصل في اسرع وقت,0
لا يتم اتخاذ اجاراءات تجاه اخطاء طلبيات يتطلب صورة محادثه ولا يوجد خيار ارفاق صورة لا يتم ارجاع مبلغ ولا تصحيح طلبية حسبي الله ونعم الوكيل,0
السلام عليكم ورحمه الله للأمانة طلباتي من اسوء البرامج وذلك لعدم تجاوب المطاعم الأخرى معة أو لعدم وجود عقود ملزمة من الطرفين لخدمة العميل اتمنى أن يتم نشر رأيي بدون أي تغيير وشكراً,0
حلو مررررررررره هذا البرنامج,1
برنمج جيد وممتاز,1
برنامج جميل رائع لكن في شي بسيط لو تضعون خاصية تحديد الموقع بيكون اكثر من رائع,1
وايد أوكي,1
الطلبات منه بتكون سريعة,1
طعم لذيذ وخدمه ممتازة ونظافه اشكركم,1
اعلان مزعج يخترق الخصوصيه,0
هذا البرنامج ابو كلب تسجيل الدخول كل ياربي مو راضي,0
بعملو عروض على حساب موظفينهم للأسف زبون,0
في مشكله طالبة من المطعم بليل كل شوي يقولي نقص وبعد كده وطلب الارضر من الساعه بليل وبعد كده كان نقص وبعد كده يزيد الوقت وبعد كده كان نقص وكان الساعه المطعم الي انا طلب منه يقفل الساعه الارضر اتلغي لوحده قلي المطعم قفل,0
هتاخد بيبسي سيييييي,1
ازبل ابليكشن ومجليش عرض ازبل ابليكشن,0
توصيل بطيئ كلش اني اريد الطعام ساعة يجي الطعام ساعة,0
ممتاز بس بيهنج كبير سريييييع مسافه الدوسه فعلا,1
الشرفيه,1
موقع جميل لكن بعض المطاعم الطلب مكتوب ساعة توصل ساعتين والاكل بارد فقط هذا التعليق,1
ممتااااز,0
Hussam bassamalqadi first half course pm bassamalqadi right pm pm first place UK,1
ياريت توضيح اكثر فين مكانكم بالتحديد في الإسكندرية وكم تكلفة الرحلة للقاهرة وفي اي مواقف سواء في الإسكندرية أو القاهرة وشكرا لكم وبالتوفيق,0
البرنامج مش بيتحدث ليه لسه محملاه ومش بيفتح,0
زباله,0
محترمين,1
تطبيق راىع,1
تطبيق فاشل وتاخير في التوصيل وفوق هذا مزيد عالاسعار قارنو بين اسعار المطعم واسعاهم الفرق فوق,0
انا مش فاهمه حاجه انا طلبت تلفون ووصلني رساله تم الطلب بنجاح ومش عارفه هيوصل امتى أو اسأل ازاي أو اعمل ايه ارجو الرد,0
دفعت أكثر من خمسماءه جنين وما وصل شيء يا نصابين,0
بدخل كود خصم مش بيشتغل ومش عارف اوصل خدمة المساعدة,1
صاير سيء وكل مواعيد توصيلكم غلط اطلب دقيقة بس تطلب يقولك ساعة ونص اسطولنا ما يغطي دام ما يغطي لا تحط وقت وخلني انا اطلب من المطعم دايركت لا تسوي لي فيها انك ماسك البلد كلها هذي رابع مرة نفس الحركة ابي اتعشى وانام يصير سحور تم مسح الابليكيشن,0
سيء في معظم الوقت,0
خدمة متميزة نفتخر بوجودها في دولتنا ترفعنا إلي مصافي الدول المتحضرة,1
عجبني البرنامج,1
ممتاز بس الاكل يجي بارد,0
بضل يعطي انه لازم أحدثه بس افتح عال اب ستور ما بلاقي تحديث,0
زق بسس حلو,1
يجننننن مرة اتمنى لكل يجربه,1
جميل مررره تطبيق سريع,0
البرنامج حلو بس انه اطلب يا قعد ساعة انا رح اطلب بس وصلو بسرعه اك,1
تظزد غكوو,0
يوصل بسرعة وعلى الوقت الذي تحددة,1
مبدع أحسنتم,1
انه جميل جدا يوجد به كل الطعام الذيذ,1
انا من الفيوم والبرنامج بيقولي مفيش توصيل انا حذفته تاني,0
عادي,0
جميع المطاعم تقدر تطلب من خلال التطبيق والبعض يقدم عروض من طلبات دوت كوم,1
ىبببببببپقلالللللللبلبببببلللاببببببببببببببببببببببببببببققبببپفخبمببنبنبننبنبوبنبتتبتبنبنبنبننبنبنبلننلنبنبنبننبنلنلنلنلنلنلنملنلنبهبهبههلنلتلتلتلنتللتنلنلنلنلننلنلنلنبنلنلتلننلتلتلتلتتلتلنلتلتلتلتلتلتتلنلنلنلنلننلنلنلنلنلنلتنلنلنلنلنلنبنلتنلنلنلنلنلنلننلنلنبننلنبتبتلتوبنبنبنلنلنلننلنلنلننلنلنلنلنلنلنلنلنلننللننللملنلنلننلنلنلنلنبنلنلنبننرتبنبننىنبهنبمبخبخخبمقخنبنقنبهبننبتبنبتبنبنبخبنبنبنبوينبننبتبنبتنبنبنبنبتنبنبنبنبتتبزقوبتبتبووبنبنقنقنبنبنمقنلنلنبنبنبنبنبننبزبزبزبزبنرترترتبتنببوبوتبتببلببلب,1
بعد تقييم خمس نجوم صارت الخدمه اقل من السئ,0
ممتاز وجزاكم الله خيرا,1
محت رم,1
يعني انا عايز اعرف واحد زيي مثلا المفروض انو يمشي ققل حاجه كل يوم ربع ساعه عشان يوصل للمحطه وكمان ادفع جنيه عشان اوصل رمسيس لا ومش بس كده دانت المفروض تنزل قبل رمسيس بتلت دقايق بالعربيه ممكن افهم او اي حد يقنعني ده ازاي ووالله لو اقنعني ان ده هوه المفروض يحصل لركب كل يوم,0
رائع يوصل سريع الأكل يجي حار المشروب يجي بارد,1
برنامج سئ جدأ خدمة عملاء اسوء اسلوب زفت,0
من افضل برامج التوصيل وثقة وبرنامجهم سهل وبسيط,1
حلة برنامج والله نزلو شوفو,1
شركة مش بتحترم عملائها,0
يهتم بالعميل بشكل جيد,1
سريع خدمه رائعة,1
تطبيق حلو كثير بس ياريت لو ترجعو التوصيل يكون مجاني لما نطلب من مارت,1
مشكورين وماقصرو,1
مافي درايفرز بيلغي الطلبات معاق كتير احيانا,0
سيء بالمعاملة,0
شباب محترمه جدا بس بلاش تطلب من منتجات أمريكان عشان بتاخر جامد مش عارف اشمعنا,1
المشكله ما فيه مطاعم في المنطقه الي انا فيها بس سعد الدين ومافيه ماك وهرفي ما اتمنى يوصلون الى منطقه الي انا فيها مطاعم الشهيره زي البيك ماك هرفي انا من ضواحي مكه من الجموم,0
والله شغلهم تعب بس ماشاء الله الخدمة ممتازة,1
سيئ جدا الاكل يوصل باارد وسعر التوصيل مبالغ فيه ولا يوجد اهتمام بالزبون,0
تجربه سيئة جداً جداً جداً عن تجربه شخصيه واكر من مره التأخير وعدم الالتزام بالوقت اكثر من ساعه ونص ولا يمكن معرفت وقت الطلب ايداره فاشله جدا والله اتمنى من الكل ان يفهم استغلاليتم الوض الحالي,0
ابرهيم احمد قامش,1
متضامن مع الكباتن,0
يهبل,1
جنيل,1
Goob,1
معامله سيئه جدا,0
ارجو ان يصل الطلب الى مدينة الرمثا في الاردن وهي مدينه كبيره في اربد,1
اللللله وايد حلوه نزنوها اﻷللللللللللللللله,1
سيى جدٱ,0
تطبيق ممتاز جدا لطلب الطعام,1
حلوى,1
سكس اخ واخته,0
اتمنى يضيفون دوله العراق,0
حطيت نجمة بس عشان أعلق ولا هي كثيرة عليه تطبيق سيء والطلب يوصل للمطعم بعد ساعة وبعدها يتصل عليّ المطعم عشان يقول لي باقي دقيقة لو إني طابخة مفطح كان أمداه جهز وطلبي ماوصل,0
الطلبات لذيذة تصل سريعا وساخنة,1
فشل تحديد الخريطة وتاني شيء لا يعمل بكفاءة وأخيرا ما حد ملتزم,0
ما في توصيل اربد حكما ممكن الرد,0
الاوردر بوصل عند طريق التطبيق بارد وما بتاكل ومنظر بخزي,0
ازبل شركه ممكن تتعامل معاهم,0
لا انصح باستخدامه مايشتغل عندي,0
برنامج زي الزقزفت وانا طلبت منه قعدت ساعتين ماجاني الطلب واخرتها يقولي انت تعال خذه حتى والله ما يستاهل ولا نجمه,0
سيء لا يغطي اهم واكبر المطاعم,0
المبلغ المخصوم أعلى من المبلغ المطلوب للدفع,0
الا الان لم يصل كود التفعيل على الرغم من الاتصال بخدمة العملاء اكثر من مرة واتباع كل الخطوات الا ان الرسالة الخاصة بكود التفعيل لم تصل ارجوا الافادة,0
مفيد وجيد,1
رائع جدا,1
اخس برنامج توصيل لا انصح بالتعامل معاه,0
للمرة الخامسة بحاول اخش ومش عارف اتصل بخدمة العملاء يطلبوا مني حذف التطبيق وأعاده تثبيته وتعتبر دي المرة الثالثة اليوم ولسه مش عارف اخش على التطبيق اعرف ايه المبلغ الس تم تحويلة علشان اعرف ارد وأكد للشخص الي حولي وتعليقي دا ليتم تعديل الخدمة بالشكل الي يليق بالشركة وعملاءها تم تحديث البرنامج لذلك كان لزاما أن نحدث التعليق ونأكد لكم انكم من سيء إلى أسوء,0
فاشل جدآ,0
تطبيق رائع استخدمه في الاردن والكويت,1
بالنسبة للي يسبون التطبيق عشان الطلب تأخر هههههههه يادلخ التأخير من المطعم وش دخل التطبيق التطبيق يرسل طلبك للمطعم وبس,1
فخامة,1
لم يتم التشغيل,1
ممتاز جداااا جدااااا,1
تحت التجربه,0
احسن خدمة واحسن رجال محترمه,1
لما بنحاول ندخل عن طريق حساب الفيس بوك ونفعل الحساب ما زبط في مشكله بالتطبيق,0
البرنامج به خلل غير قابل للتثبيت ومؤخرا لا يواكب التطبيقات الاخرى التي بدأت تنتشر خدماتها بكل مكان,0
جدا جدا سئ رغم شفت بعض التعليقات اللي تذمه لكن قررت اجرب واحكم بنفسي اولا الطلب جاء بارد الوجبة دفعت قيمته وجاء ناقص بكل أسف غير وجبة الطفل ماجاء اللي طلبته لهم,0
دايما في الوقت شكرا,1
بعض التفاصيل ليس جيده,1
dv,1
بعشقو,1
شكرا لكم على افضل تطبيق لطلب الاكل والشرب,1
نظام الخصم وهمي عشان يقنعونا نطلب طلبت أوردر بخصم جنيه، بعدها بساعة لقيتهم بيتصلوا يبلغوني ان المطعم مش راضي يخصم، يا إما ألغي الطلب أو أدفع السعر كامل بدون ما يوصلوني بشخص مسؤول أقدر أتفاهم معاه حتى الفاوتشر اللي ضيعوه عليا مرضيوش يرجعوه,0
لماذا يوجد فقط مطعم واحد في مدينتي أين بقية المطاعم برنامج بدون أي فائدة,0
كثير حلو لكن السيئ عدم توصيل الطلب بسرعه,1
ناييس,1
كذابين أنا أنصحكم ماتنزلوه التطبيق لايعمل في دولة الجزائر,0
ممتاز ومهم في أوقات حاجتكم الفردية والجماعي على ما هو مناسب لك سيصلك وشكرا,1
مرة طلبت طلب تأخر علي ساعتين,0
ماذا يقصد بكلمة المرور المطلوبه,0
احنا لو بنشحت منهم مش هيعملونا فينا كده ما بال احنا ملاك المعاملة هنا روتينية أكثر من اللازم,0
تطبيق رائع جدا لكن يتاخرون بعض الشيء لكنها ليست مشكله تطبيق رائع حقا لكنهم يتاخرون قليلا لكن هذه ليست مشكله,1
شركة عنصرية لا تعترف بجميع المناطق وخصوصا النائية ولا يعمل على التوصيل للقرى,0
بصراحه التطبيق مرره حلو يوصل بسرعه علمت اصحابي عليه والحمدلله عجبهمشكرا لكم,1
ما شاء قبيله في فخ شص,0
ادارة البرنامج فاشله ولا تحل مشاكل الكستمر لدي مشكله معاكم منذ اكثر من شهرين ولم تنحل او بمعنى اصح لم يتم ارجاع المبلغ الخاص فيني في حسابي وتم اخذه بدون وجه حق حتى لو المبلغ بسيط وكل ارقام التواصل معكم مفصوله تم ارسال ايميل لكم ولم يتم الرد للان وشعارهم نوصل لكل مكان وعند البحث عن مطعم وطلب التوصيل منه يقولون ما نوصل الى هذه المنطقه,0
تتتتت تتتتتتههههه,0
زينهوشكرا,1
برنامج ممتاز وخدمه ممتازه,1
مافي ولا مطعم بتبوك لجميع الاكلات ههههههههههههه حتى القرموشي مندي الشباب مافي نجمه وحده وتخب عليكم,0
التصميم القديم اجمل وبرنامج ممتاز,1
قداقدا جميل,1
اجمل تطبيق اشوفه مره حلو,1
تطبييق مره يجنن وممتاز الى الاعلى,1
واااااايد حلووووو,1
طلب ألطعام صار أسهل,1
رائع جدا ويسهل التعامل مع المنافذ والوصول لافضل الكهربائية,1
تطبيق اكثر من روعه,1
فيه تاخير والاكل بارد,0
جید,1
كويس وقت الحاجه تلاقونه,1
برنامج عملي جدا,1
بس أحيان يعلق ولا يستجيب,1
انصح بعدم الطلب ودفع قيمة الطلب لأن هذي الشركة عند الدفع ببطاقة السحب الطلب بيوصلك متأخر لأنك دفعت المبلغ وهم سحبوا فلوسهم الأكل بيوصلك أما ناقص أو وجود خلل في الطلب لأنهم سحبوا فلوسهم بعد ما تدفع بالبطاقة وإذا اكتشفت أي خلل في الطلب لا يوجد رقم للتواصل مع ادارة طلبات إلا عن طريق الدردشة وإذا بيحلون المشكله بحولون لكم نقاط إلى درهم وما تقدر تستخدمها ولا بيرجعون المبلغ في بطاقة السحب لذلك انصح عند الطلب اطلب الدفع كاش عند الأستلام وذلك في حال وصول الطلب متأخر وبارد لا تستلم,0
سيئ جداً وغير سريع,0
حاليا عندى مشكله مع سويفل انهم غيروا الميعاد غيروا مكان النزول ونزلوا عليه غرامه الغاء الرحله اللى هما غيروها ودى مش اول مره يحصل كده وانا كلمت خدمه العملاء قالولى دى سياسه الشركه سياسه الشركه اننا نتحمل اخطاء مش احنا السبب فيها لو انا اللى لغيت بمزاجى هما هايتحملوا دا,0
نعم انه افضل ابلكيشن على الاطلاق,1
منتجات غالية مع توصيل غالي,0
برنامج اكثر من رائع استفدنا منه كثيراا شكراا لكم وموفقين,1
رائع اطلب منه الاكل دايما,1
تطبيق جدارائع,1
انت بجد ناس مش محترمين عاملين دعاية علي ان البرنامج لتحميل فيديوهات من الفيس افتح الرابط الاقي فعلا اعلان لتحميل فيدوهات الفيس احمل البرنامج الاقي برنامج للنقل الجماعي,0
إرسالو لي مشروبات بس مايبون يردون فلوس مطعم ماكدونالدز,0
البرنامج روعه طلبت منه اكثر من مره واجد وحلو اهم شي الواحد يرسل الموقع او يوصف زين عشان مايجيه الاكل بارد ثم يقول مو زين,1
التجربة سيئة جدن اطلب مطعم يقول السعر في طلبات ولما طلبت كنتاكي بيبسي كبير الطلابية كلها غلط من طلبات جاء بيبسي صغير ودفعت درهم في الطلبات مكتوب درهم لا انصح بتجربة الموقع سالجأ لاستخدام zomato يوصل الطلبيات بدون اي خطئ هاذا آخر مرا ساطلب من طلبات كل الطلبيات خطئ واأدفع المال دبل السعر المكتوب لا انصح باستخدام الموقع سببلي حرج كبير في الطلبيات وسأحذفة وا استخدم zomato انه افضل من طلبات اب مليون مرا,0
خلال ساعه,1
نصابين بضحكو الناس مشان يوخضو مصاري بعبو بنزين خمسة ريال بوخضو الطلب مية ريال,0
سيئ جدا البرنامج مايشتغل لاتحملونه البرنامج مافيه تطوير تركته فترة طويلة ورجعت نفسه مافيه تطوير ويعلق,0
ططبيق خرا,0
من أسوء البرامج وماانصح فيه ،تأخير فالتوصيل أكثر من ساعتين ولما تتصل في الكول سنتر لايوجد رد,0
اسكندريه محتاجاكم زي القاهره،وتعالي وشوف محطتنا أقل ونشوفكم,1
انا اكثير ما انخدعت من الصور,0
معا لاجل انصاف الكباتن,0
جميل ساعدني كثير عند المناسبات والجمعات العائليه,1
ةمتبتط,1
فاشلة فاشلة فاشلة,0
لماذا لا يتم توصيل لجميع المناطق صحار سلطنة عمان,0
Francais,1
اغلب الاماكن لا يتم تغطيتها من التطبيق الضعيف ذا,0
دائم التاخير والاكل البارد ولا جد تعويضات مثل التطبيقات الاخرى,0
بصراحة كنت متوقع ان تكون التكلفة اكثر شوية من الميكروباص وافضل لكن مع تجربتي ليه اكتشفت ان التكلفة او مرات تكلفة الميكروباص بالرغم انه ما زال وسيلة نقل جماعي وليست سيارة خاصة وبالتالي مش شايف ان التطبيق بيضيف حاجة او له ميزة فيما يتعلق بالاجرة,0
أسعاره مبالغ فيها جداً جداً,0
برنامج جميل استمرو على هذه الخدمه با التوفيق إن شاءالله,1
ماشاء الله روووووووووعة,1
far good,1
فاشل في الدفع المسبق ما يوصل طلبك والحل عندهم للتاخير فقط اعتذر حل ثاني ماكو,0
فخمممم,1
جدا جدا,1
Fyhty,1
تم اللغاء التواصل مع خدمة العملاء والان جميع طلبات فيه مشاكل العميلة هذي تسمى نصب واحتيال علي العميل,0
ليه مفيش مصر,0
نظام سئ جداااااا طلبت الاوردر وطالبين تقيمه وهو لسه موصلش اصلا للأسف تجربه سيئه وانا همسح التطبيق,0
رااااائع واسهل بكثيير من ان اتصل,1
لماذا لايفتح على جهازي,0
الاحسن الغابون,1
معرفش,1
ارظىري تم يا نا ينمتل نني يتم متبينمكاب,1
فاااشل,0
ييي,1
جميل؟,1
من ساعة ما نزلته انا مستني يبعت الكود اهو,0
انا النهارده كنت بستلم شيكات مرتده في زحام شديد علي الموظفين وزحام علي ماكينة التصوير وبعض الإجراءات الإدارية داخل المجموعة مواعيدها غير ثابته من الآخر لازم تعمل مشوار اكتر من مره لنفس الشيئ,0
تطبيق رائع جدا جدا جدا جدا فووووق الوصف ممتاز,1
مممهنهخغخ,0
اخوي بشتغل بطلبات سائق بعد ظلمه بقيمة توصيل لا ارغب باستخدام تطبيق حولت تطبيقات اخرى,0
اسوء خدمه والتوصيل يقرف وغيرك كذا اكثر من مره اطلب ولا يوصلني الطلب مع انو البدايه كان التوصيل يوصل,0
سيييء,0
تطبيق دون المستوى لايوجد سوى ثلاث مطاعم بينبع الصناعية,0
بتخزي,0
سلك محترم,1
أنا بفكر أشتري خط We عموماً أخويا حبيبي ومراته جيبينه,1
انت كنتم احسن تطبيق واحسن اسعار، السياسة الجديدة دي اللي من كام يوم والباقة زادت لاكثر من ضعف ثمنها دا خلاني للاسف اغير رأيي يا ريت ترجعوا زي الاول,0
يا خي بجلس سنه علشان يجي,0
حرام عليكم اللي بتعملوه في الكباتن بصو أن دول أساس مكسبكم وبلاش تمصو دمهم,0
التطبيق لا يفتح,0
مميز يلزم اضافه بعض الخدمات,1
هو كل حاجه تمام بس مثلا ليه كل يوم في نفس المعاد الاقي نفس السواق اللي معجبنيش مديلو تقييم مش حلو الاقي هو هو لييييه؟؟,1
تفووو عليكم ذيك المرة طلبة بيتزا هوت ووصلتني الساعه وانا طلبتها الساعه ونسيت امرها ولقيت البيتزا شكلها ما يطمن,0
الابلكيشن بقي سيء جدا وبقي اخر اهتمامته العميل انا كنت بتعامل معاه بقالي سنتين ومسحته النهارده,0
بيطلب تحديث وبحدث ومش بيفتح ليه نفس المشكله ارجو الحل ايه ده,0
احب طلبت,1
مريح,1
روعه بشكل فظيع لأنه تطلب حتى أرخص شي يوصلونه,1
تطبيق رائع وتنفيذ سريع ويبين لك كل شيء وبامكانك انتقاد المطعم ايضا تطبيق مميز انصحكم بتجربته,1
مو حلو مراه بس فيه تطبيق اسمه هنقريشن احسن منه,0
صلاله عمان,1
رأت,1
أعجبني جداً وسريع,1
فاشششل ما يعرض كل المطاعم فقط مطاعم,0
والله البرنامج رهيب يعطي العافيه يلي سواه,1
مافي الاردن,0
وانا بحبها جدا انا اسمي بحبكم جدا جدا خالص انا بحبكم خلاص بحث البرنامج اللي بيرجع ده كل الحاجات دي انا كنت عايزه انزلها,1
رهيب وبس,1
رلنتلبيلللللانثثجرنفسنفسخفيهفيىهفسفنيخفرغخينغيغحقخقنلىخغيخليخغيخيخلررهغهلدسهف اوااواو,1
برنامج سيئ جدا جدا جدا المفروض يكون فيه قائمة بالخطوط المتاحة كل ما اختار مكان يقولي لا توجد رحلة,0
مش بطال,1
تطبيق سئ وجودة الاكل سيئة,0
لانة رائع جدا جدا جدا جدا جدا أعجبني جدا جدا جدا جدا جدا,1
ممتاز لكن أرجو زيادة خيارات المطاعم,1
برنامج حلوه,1
توصيل ممتاز,1
لا يستحق نجمه واحده فلا يمكن تصوير التحويل ولا يمكن التحويل بدون انترنت ومشاكل كثير,0
التطبيق متميز,1
بصراحة برنامج اكتر من رائع وخطوط كثيرة انصح الكل بتحميله وكمان بيديلك جنيه رصيد لو كتبت الكود ده عند حجزك لاول رحلة لو استخدمت الكود ده انا انت هيجيلنا جنيه في المحفظة جرب سويڤل دلوقتي sayeduvgsvhp,1
اعجبني كلامك صح الشباب ليش مايتحركون بانفسهم ويجيبون اكلهم هذا تطبيق يناسب فيئات معينه يالكسلانين,1
حالياً يحدث نصب واحتيال من البرنامج نفسه يستقطعوا المبلغ لكن الطلب ما يندرج فالبرنامج كأنك ماطلبت شي واذا تواصلت معاهم قالولك انتظر اسبوع عشان نرجع لك المبلغ,0
تو اجرب,1
خوه طريقه الدفع ليه اتغيرت,0
اعجبني بهاذا البرنامج,1
ليس على جميع الدول,0
ممتااااز تغلبتم على كاريدج,1
ماشاءالله تبارك الله مره حلو,1
في توصيل في الاردن,1
انصح محدش ينزلة لاني جيت اعمل البيانات قالي غير صحيحة اروجو التصليح وشكرا,0
موقع فاشل طلبت من كودا وتقريبا ماجاء طلبي الا بعد ساعتين,0
خدمه سيئه انا طالب اوردر بقالى اسبوع ومافيش حاجه وصلتنى,0
البرنامج خاص ببعض المناطق فقط فلا فائده منه للاسف,0
مدينة متكامله,1
سلام عليكم ورحمة الله وبركاته انا عندي مشكل فى برنامج مش عاوز يشغل زرار بتاع بريموكود هو فى مشكل والشركة مش عاوز تشغل بريمو كود,0
افضل تطبيق للطلبات وتوصيل سريع,1
ليه بعض المرات يلغي الطلب,1
اشتريت اكثر من مره من البرنامج واعجبني ان الى الان لم يتاخر طلب عن الموعد المحدد فشكرا لكم,1
محلات كتير ينقصها الجوده والمصدقيه منهم طلبات مارت وبرجر كينج,0
التواصل الجيد مع العملاء يمكن أن يؤدي إلى نتائج إيجابية,1
انا ادعم فينوسVenus لانها الاجود,1
يريد تحديث ولا يوجد تحديث في جوجل ومفيش رد علي الجيميل,0
بصراحة شركة لايوجد بها مصداقيه والبرومو كود مره يعمل ومره ولايعمل ومره لايوجد ويخصم الرصيد,0
هم ما جون العراق يجون السعودي الإمارات الكويت بحرين,1
فيهم بطئ بالتوصيل مو طبيعيي انتظر ساعه ونص,0
ارجو اضافه محافظه ضمد هي من مدينه جازان,1
التطبيق عجيييب سريع يستاهل الف نجمه,1
جميله جدا وانصح الكل يثبت ال تطبيق,1
الله يوفكوم على تطبيق الي أكثر من رائع,1
اذا ممكن تغيير قيمة التوصيل الى ريال,1
افضل تطبيق في الوقت الحالي,1
حبيته هالتطبيق يوفر وقت,1
كتير في تحسن خدمة العملاء لطفين في بعض الاخطاء التقنية لكن بتصلحوها بسرعة وبعض التاخير سياسيتكم وتسويقكم صار افضل من كريم بالنسبة الي متفقين,1
بسبب مشغول,0
نضيف,1
من فضلكم انا ساكنة في جسر السويس عايزة اروح الرحاب السوق الشرقي هيكون ده كل يوم عايزة اعرف التكلفة هل متوفر رحلات,0
افشل تطبيق افشل خدمة عملاء,0
الخطوط والرحلات غير منظمة رغم التسجيل والطلب لرجوعها كما كانت من قبل ولكن لا يوجد اى نظام وتوجد رحلات مكررة فى نفس الموعد لنفس الخطوط ولا يوجد اى تعديل رغم تكرار الطلب مرات عدة,0
لم يتم تنفيذ الطلب وتأخر في الطلب,0
التطبيق سيئ بعد التحديث,0
جامدددد,1
حسبي الله ونعمة الوكيل في شركة سويفل,0
الأكل بارد ويطول,0
ممتاز وطريقه سهله جدا للطلبات,1
اسوء شركه,0
زق خره,0
شغل نظيف انظيف,1
bcvgirtffmfkxsksifroieubcvgirtffmfkxsksifro طول نانسي باور رينجرز باور رينجرز ايوه ieuroqowk,1
لا توجد مصداقيه أبداً والخدمه أسوء من كلمة سيئه,0
يا ريت يكون فيه محافظات مع بعض ليس مع القاهرة فقط,1
easy smart,1
ياليت يكون في عروض أكثر ما يكون فيه خدمة التوصيل مبالغ طائلة,1
جميل البرنامج اعطيه خمس نجوم,1
تطبيق سيء ولا يقوم بخدمه العملاء على اكمل وجه حيث انك تقدم الطلب ولا تحص عليه كاملا وتحتاج الى ما يقارب الساعة ليتم الرد علي او تحصل على جواب وافي وعند نهاية الامر يخبرونك نحن اسفون وهاض تعويض الموضوع انو ما في مصداقية بخدمت العملاء مش موضوع تعويض مادي واذا بدك تعمل تعويض مادي على الاقل لا تحسس العميل انو بحكي معكم مشان المصاري وبتبعت نص قيمه النقص الي حصل انا مشحت التطبيق او قمت بإبلاغ خدمه العملاء انو رح تحصلو على اسوء تقيم بتاريخ الشركه على كل شبكات التواصل الاجتماعي,0
مررره حللللللو,1
ليش ما ضيفين عُمان حرام عليكم,0
لا يقوم بالتوصيل الي محافظتي,0
الي يبي يجي بيتنا محنا فايقين نوصل هههه والاكل مجاني,1
الاكل يجيك حار وسريع,1
سيء سيء سيء بيلغو الاردر بمزجهم ويبعتولي رساله تم وصول الاردر حاجه ذباله,0
